Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-10-25,TQQQ,QQQ,4.306602219261898,0.007142539128427712,0.019785399118305406,2013-10
2013-10-28,Calm,TQQQ,-4.284791568631053,0.00024113866362549796,0.0020252515125397026,2013-10
2013-10-29,TQQQ,QQQ,4.28671925471439,0.001686547419711321,0.004803538604155732,2013-10
2013-10-30,QQQ,QQQ,-0.00096297224614358,-0.00096297224614358,-0.0031682103644206597,2013-10
2013-10-31,Calm,TQQQ,-4.290584165202575,-0.002292424114886335,-0.006463210974063574,2013-10
2013-11-01,TQQQ,QQQ,4.288533098304309,0.0002413572166198655,-0.00048411908976811105,2013-11
2013-11-04,Calm,TQQQ,-4.284187233201965,0.0014477343466042089,0.004829984192111933,2013-11
2013-11-05,TQQQ,QQQ,4.286719952900638,0.001084985352069395,0.004230562711329547,2013-11
2013-11-06,QQQ,QQQ,-0.00024115282743155593,-0.00024115282743155593,-0.0017284226620476438,2013-11
2013-11-07,Calm,TQQQ,-4.341033055217632,-0.018974105071242087,-0.05705639519370689,2013-11
2013-11-08,TQQQ,QQQ,4.335475738650171,0.013416788503781694,0.03872351283487889,2013-11
2013-11-11,Calm,TQQQ,-4.301561475142005,-0.001576077313043127,-0.0048092493267129855,2013-11
2013-11-12,TQQQ,QQQ,4.301561475142005,0.0015760773130432102,0.0049069989866301275,2013-11
2013-11-13,QQQ,QQQ,0.0120427698049472,0.0120427698049472,0.035199251236270344,2013-11
2013-11-14,Calm,TQQQ,-4.265779473585119,0.0031074382092289646,0.007718521138932683,2013-11
2013-11-15,TQQQ,QQQ,4.270794115006607,0.001907203212259027,0.006916066372836953,2013-11
2013-11-18,Calm,TQQQ,-4.291927019155541,-0.00981446139085174,-0.02804897052177136,2013-11
2013-11-19,TQQQ,QQQ,4.2792217106863975,-0.002890847078291908,-0.009913624213050282,2013-11
2013-11-20,QQQ,QQQ,-0.0024158132000698844,-0.0024158132000698844,-0.00698913917039342,2013-11
2013-11-21,Calm,TQQQ,-4.263580713327259,0.010106480247725662,0.03012794754251279,2013-11
2013-11-22,TQQQ,QQQ,4.279059156446446,0.005371962871462071,0.015661044111774863,2013-11
2013-11-25,Calm,TQQQ,-4.25681304186502,0.0023785519454474304,0.006585070469651315,2013-11
2013-11-26,TQQQ,QQQ,4.264403980949062,0.005212387138594549,0.01641131206920403,2013-11
2013-11-27,QQQ,QQQ,0.006947614567543063,0.006947614567543063,0.01980815863974884,2013-11
2013-11-29,Calm,TQQQ,-4.218862071304723,0.005966598753021255,0.01627005350292924,2013-11
2013-12-02,Calm,TQQQ,-0.006247389617415886,-0.0029205233705104313,-0.006247389617415886,2013-12
2013-12-03,TQQQ,QQQ,4.227336195799276,-0.0008193405053735377,-0.0029162753075321055,2013-12
2013-12-04,QQQ,QQQ,0.0009365738055427546,0.0009365738055427546,0.0025639928268240057,2013-12
2013-12-05,Calm,TQQQ,-4.231720066401198,-0.0012879535520567466,-0.003095014315670331,2013-12
2013-12-06,TQQQ,QQQ,4.237667582688433,0.007235469839292354,0.020425876707405866,2013-12
2013-12-09,Calm,TQQQ,-4.205338014589528,0.004061905818391354,0.011903691391498862,2013-12
2013-12-10,TQQQ,QQQ,4.208704691864065,-0.0006952285438549029,-0.001802731672716492,2013-12
2013-12-11,QQQ,QQQ,-0.01294711370772415,-0.01294711370772415,-0.03808374331073563,2013-12
2013-12-12,Calm,TQQQ,-4.243797498963359,-0.0025864653039181064,-0.008153445823567054,2013-12
2013-12-13,TQQQ,QQQ,4.239915834346848,-0.00129519931259313,-0.00477987911751691,2013-12
2013-12-16,Calm,TQQQ,-4.227665980320907,0.0055236986750310585,0.017029733143458476,2013-12
2013-12-17,TQQQ,QQQ,4.231195415289945,-0.0019942637059924425,-0.006329523867630499,2013-12
2013-12-18,QQQ,QQQ,0.011559447971828814,0.011559447971828814,0.03394002296156677,2013-12
2013-12-19,Calm,TQQQ,-4.224175818114723,-0.0027902231407511274,-0.009031453946885162,2013-12
2013-12-20,TQQQ,QQQ,4.231517479563218,0.010131884589245906,0.02965245647986145,2013-12
2013-12-23,Calm,TQQQ,-4.17002613465236,0.010465591277341299,0.03183888843099613,2013-12
2013-12-24,TQQQ,QQQ,4.180949544017476,0.0004578180877744407,0.001393768940898129,2013-12
2013-12-26,Calm,TQQQ,-4.169855351700164,0.0033103421351584725,0.009700423376413591,2013-12
2013-12-27,TQQQ,QQQ,4.170655261350822,-0.0025104324845007923,-0.007328322111983728,2013-12
2013-12-30,Calm,TQQQ,-4.183227300515596,-0.0014861385443328116,-0.005243717052790117,2013-12
2013-12-31,TQQQ,QQQ,4.188242070032841,0.006500908061577738,0.019445225167512646,2013-12
2014-01-02,Calm,TQQQ,-4.192440988341079,-0.007875261575409135,-0.023644143475750567,2014-01
2014-01-03,TQQQ,QQQ,4.177320308658792,-0.007245418106877694,-0.022021168036083266,2014-01
2014-01-06,Calm,TQQQ,-4.210025045717326,-0.003700452147040053,-0.010683569022450419,2014-01
2014-01-07,TQQQ,QQQ,4.215550271349812,0.009225677779526894,0.025584451223730886,2014-01
2014-01-08,QQQ,QQQ,0.002178359830339561,0.002178359830339561,0.007450355250152378,2014-01
2014-01-09,Calm,TQQQ,-4.195056796893846,-0.0033272515166348055,-0.010362972187577032,2014-01
2014-01-10,TQQQ,QQQ,4.194942274733105,0.00321272935589412,0.009950812940913488,2014-01
2014-01-13,Calm,TQQQ,-4.23048297429099,-0.014887165486995056,-0.045491512498798875,2014-01
2014-01-14,TQQQ,QQQ,4.234483850225868,0.01888804142187262,0.05567035991441025,2014-01
2014-01-15,QQQ,QQQ,0.008181119088860229,0.008181119088860229,0.023089217006763915,2014-01
2014-01-16,Calm,TQQQ,-4.161831971223438,0.00011342079359456334,0.0020734211701163544,2014-01
2014-01-17,TQQQ,QQQ,4.156271632671168,-0.005673759345863831,-0.017919956903730962,2014-01
2014-01-21,Calm,TQQQ,-4.1520591104381275,0.007595203012855369,0.02213247913677181,2014-01
2014-01-22,TQQQ,QQQ,4.162248301677639,0.0025939882266560175,0.009235869386935852,2014-01
2014-01-23,QQQ,QQQ,-0.003384779700493966,-0.003384779700493966,-0.012095222659156045,2014-01
2014-01-24,Calm,TQQQ,-4.222805636321289,-0.01986149417263956,-0.06108276107192461,2014-01
2014-01-27,Calm,TQQQ,-0.02951451930165541,-0.009731366678396434,-0.02951451930165541,2014-01
2014-01-28,TQQQ,QQQ,4.222145148714692,-0.0005821460572163564,-0.0003488089669154846,2014-01
2014-01-29,QQQ,QQQ,-0.010774399182807596,-0.010774399182807596,-0.032040581041387864,2014-01
2014-01-30,Calm,TQQQ,-4.1923946673825006,0.01831686592775687,0.051365472157687504,2014-01
2014-01-31,TQQQ,QQQ,4.208049274544066,-0.002662258766192157,-0.007030861628491178,2014-01
2014-02-03,Calm,TQQQ,-4.283630495614713,-0.023218312979253346,-0.06855035944215677,2014-02
2014-02-04,TQQQ,QQQ,4.267740510258719,0.007328327623258685,0.019347019309957504,2014-02
2014-02-05,QQQ,QQQ,-0.0025941130532577137,-0.0025941130532577137,-0.009261791764058204,2014-02
2014-02-06,Calm,TQQQ,-4.217462912079649,0.012671947183183528,0.03759825757991269,2014-02
2014-02-07,TQQQ,QQQ,4.247815741407911,0.01768088214507838,0.05170669970008412,2014-02
2014-02-10,Calm,TQQQ,-4.17792152640929,0.005710867781485466,0.01818751529853649,2014-02
2014-02-11,TQQQ,QQQ,4.194957871581824,0.011325477391048559,0.03367261031102504,2014-02
2014-02-12,QQQ,QQQ,0.0019122700457890373,0.0019122700457890373,0.004741585753114255,2014-02
2014-02-13,Calm,TQQQ,-4.133079432196301,0.00739095489434037,0.025376513367172948,2014-02
2014-02-14,TQQQ,QQQ,4.142476674453218,0.002006287362576178,0.0029170653633029454,2014-02
2014-02-18,Calm,TQQQ,-4.124045995067352,0.004887399581533032,0.015513614022562482,2014-02
2014-02-19,TQQQ,QQQ,4.122039707704776,-0.0068936869441091645,-0.022127005104463634,2014-02
2014-02-20,QQQ,QQQ,0.004674873378653312,0.004674873378653312,0.014400418394993392,2014-02
2014-02-21,Calm,TQQQ,-4.139626264111934,-0.0013334495533962787,-0.0051850963190343165,2014-02
2014-02-24,Calm,TQQQ,0.01742907590975817,0.005323441562197982,0.01742907590975817,2014-02
2014-02-25,TQQQ,QQQ,4.125080491587696,-0.0011066886232809668,-0.003612135853880509,2014-02
2014-02-26,QQQ,QQQ,-0.0008862708192210885,-0.0008862708192210885,-0.0033235011636828173,2014-02
2014-02-27,Calm,TQQQ,-4.111652982442211,0.006467182169806545,0.01947687534382808,2014-02
2014-02-28,TQQQ,QQQ,4.117013603017181,-0.0011065615948355936,-0.005057751293475195,2014-02
2014-03-03,Calm,TQQQ,-4.144235845088829,-0.007443776000761404,-0.022164490778172962,2014-03
2014-03-04,TQQQ,QQQ,4.149425167644162,0.012633098556093026,0.03946127584051529,2014-03
2014-03-05,QQQ,QQQ,0.0027490893139019905,0.0027490893139019905,0.008174338150491735,2014-03
2014-03-06,Calm,TQQQ,-4.108325906361963,-0.0008786438012372715,-0.0037872633949070124,2014-03
